"Country","Program","Credit Granting School","Grade System"
"United Kingdom","Manchester Metropolitan University Summer School in Manchester, United Kindom","Manchester Metropolitan University","United Kingdom Grade System"
"United Kingdom","University of Hull in the United Kingdom (MAUI consortium) (Exchange)","University of Hull","United Kingdom Grade System"
"United Kingdom","University of Manchester in the United Kingdom sponsored by Arcadia University","University of Manchester","United Kingdom Grade System"
"United Kingdom","University of Sheffield in the United Kingdom (Global E3) (Exchange)","University of Sheffield","United Kingdom Grade System"
"United Kingdom","University of Surrey in Guildford, United Kingdom (Exchange)","University of Surrey","United Kingdom Grade System"
"United Kingdom","Parliamentary Internship in Edinburgh, Scotland sponsored by Arcadia University","Arcadia University","US Grade System"
"United Kingdom","STEM Summer Research in Aberdeen, Scotland sponsored by Arcadia University","Arcadia University","US Grade System"
"United Kingdom","STEM Summer Research in Glasgow, Scotland sponsored by Arcadia University","Arcadia University","US Grade System"
"United Kingdom","STEM Summer Research in London, England sponsored by Arcadia University","Arcadia University","US Grade System"
"United Kingdom","University of Sussex: Summer in Brighton, United Kingdom sponsored by IFSA-Butler","Butler University","US Grade System"
"United Kingdom","City, University of London in London, United Kingdom sponsored by Arcadia University","City University London","US Grade System"
"United Kingdom","International Internship in London, United Kingdom sponsored by Global Experiences","Fairfield University","US Grade System"
"United Kingdom","Glasgow School of Art in Glasgow, United Kingdom sponsored by Arcadia University","Arcadia University","US Grade System"
"United Kingdom","International Internship in Bristol, England sponsored by API","Nichols College","US Grade System"
"United Kingdom","International Internship in Edinburgh, Scotland sponsored by API","Nichols College","US Grade System"
"United Kingdom","AIFS Global Education Center in London - Semester","Fairfield University","US Grade System"
"United Kingdom","AIFS Global Education Center in London - Summer","Fairfield University","US Grade System"
"United Kingdom","International Internship in London, England sponsored by CEA","University of New Haven","US Grade System"
"United Kingdom","Heriot-Watt University in Edinburgh, United Kingdom","Heriot-Watt University","United Kingdom Grade System"
"Various Countries","Semester at Sea","Colorado State University","US Grade System"
"Vietnam","International Internship in Ho Chi Minh, Vietnam sponsored by CRCC Asia","St. Peters University","US Grade System"
"Vietnam","Semester in Vietnam - RMIT University Vietnam sponsored by CIS Abroad","RMIT University","Vietnamese Grade System"
"Vietnam","Summer in Vietnam - Photography, Fashion, and Innovation sponsored by CIS Abroad","RMIT University","Vietnamese Grade System"
